Generation 0
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07233992964029312
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.08945029228925705
[[8, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07217730581760406
[[8, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0728202685713768
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.10278529673814774
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07709634304046631
[[128, [7, 7], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07014572620391846
Generation 3
[[128, [7, 5], False, [1, 1], 96, [5, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.0767083466053009
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06535657495260239
[[128, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.07629098743200302
[[64, [5, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.08972541987895966
[[16, [5, 5], True, [1, 1], 128, [7, 1], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.08202262222766876
[[16, [5, 5], True, [1, 1], 8, [3, 3], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.06681551039218903
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07210925221443176
[[8, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.07467854022979736
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.07056398689746857
[[16, [5, 5], True, [4, 1], 128, [7, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, False]] : 0.08106248080730438
[[150, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], False, <function tanh at 0x7f81164a0b70>, True]] : 0.06658487766981125
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.07212430983781815
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.10080333054065704
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.07008039951324463
[[128, [3, 1], False, [1, 1], 64, [3, 3], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07650722563266754
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07595926523208618
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07700210809707642
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07570919394493103
[[128, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.10071108490228653
[[8, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.07291660457849503
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], True, <function selu at 0x7f81162d0378>, False]] : 0.06515008956193924
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.0769919827580452
[[128, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0761876106262207
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06457993388175964
[[128, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0769435241818428
[[128, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], False, <function relu6 at 0x7f8180bd70d0>, True]] : 0.0654924213886261
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.0654740110039711
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07552807033061981
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.0764152854681015
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07617722451686859
Generation 4
[[128, [7, 5], False, [1, 1], 96, [5, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.08043070137500763
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07514575123786926
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.072466641664505
[[64, [5, 1], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.08261938393115997
[[16, [5, 5], True, [1, 1], 8, [3, 3], True, [1, 1], False, <function leaky_relu at 0x7f8180bd7158>, True]] : 0.0680190846323967
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.06668534874916077
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07635349780321121
[[96, [5, 5], False, [1, 1], 64, [7, 1], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07740364968776703
[[150, [5, 5], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7f81162d0378>, True]] : 0.07950109988451004
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu6 at 0x7f8180bd70d0>, True]] : 0.10274695605039597
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, False]] : 0.08171164244413376
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.06689219176769257
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.10195450484752655
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07527034729719162
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, False]] : 0.0805719718337059
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07984817773103714
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.08142337203025818
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.07212524116039276
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.08097823709249496
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.0802304819226265
[[32, [5, 5], False, [1, 1], 64, [5, 3], True, [16, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07219184190034866
[[96, [5, 5], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function selu at 0x7f81162d0378>, True]] : 0.07762830704450607
[[96, [5, 5], False, [1, 1], 150, [5, 3], False, [1, 1], True, <function tanh at 0x7f81164a0b70>, True]] : 0.06580768525600433
[[96, [7, 5], False, [1, 1], 150, [3, 1], False, [1, 1], True, <function relu at 0x7f81162d4a60>, True]] : 0.07420513778924942
[[64, [7, 1], True, [1, 1], 8, [7, 5], True, [1, 1], False, <function selu at 0x7f81162d0378>, False]] : 0.10081546753644943
