Generation 0
[[64, [7, 1], False, [1, 1], 8, [7, 5], False, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.06637573242188
[[64, [3, 3], True, [1, 1], 150, [5, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.0398712158203
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.0552520751953
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, False]] : 227.0264129638672
[[128, [5, 5], False, [16, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 226.95697021484375
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.01536560058594
[[32, [3, 3], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.95094299316406
[[96, [5, 3], True, [1, 1], 8, [7, 7], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.07183837890625
[[96, [3, 3], False, [1, 1], 128, [5, 5], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.06419372558594
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.00326538085938
[[96, [5, 5], False, [1, 1], 96, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.66116333007812
[[96, [3, 3], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.07656860351562
[[32, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.0312957763672
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.93777465820312
[[32, [7, 3], True, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.0757598876953
[[96, [7, 1], True, [1, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.97837829589844
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.62767028808594
[[16, [3, 3], False, [1, 1], 128, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9676971435547
[[32, [3, 3], True, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.95103454589844
[[16, [3, 3], False, [1, 1], 96, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.8746795654297
[[96, [7, 3], False, [1, 1], 8, [7, 1], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.04762268066406
[[96, [7, 1], True, [16, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.04116821289062
[[96, [5, 3], False, [1, 1], 8, [7, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.6616973876953
[[96, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.0587615966797
[[32, [3, 3], True, [1, 1], 128, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.63563537597656
[[64, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.03712463378906
Generation 4
[[32, [7, 5], False, [1, 1], 32, [7, 1], False, [1, 1], True, <function leaky_relu at 0x7fbe8bdd5158>, True]] : 227.0202178955078
[[32, [3, 3], False, [1, 1], 128, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.03875732421875
[[150, [3, 3], False, [1, 1], 64, [3, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, False]] : 226.96995544433594
[[64, [3, 3], True, [1, 1], 150, [5, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.05953979492188
[[96, [5, 3], False, [1, 1], 8, [5, 5], False, [1, 1], True, <function selu at 0x7fbe214cf378>, False]] : 226.95603942871094
[[128, [5, 5], False, [16, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.105712890625
[[16, [7, 3], True, [1, 1], 64, [5, 3], False, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 227.02105712890625
[[32, [3, 3], False, [1, 1], 64, [5, 5], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 226.98377990722656
[[96, [5, 3], True, [1, 1], 8, [7, 7], False, [1, 1], True, <function selu at 0x7fbe214cf378>, True]] : 227.13221740722656
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.04959106445312
[[32, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9468231201172
[[32, [3, 3], False, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.94149780273438
[[96, [7, 1], True, [1, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.0747528076172
[[32, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function selu at 0x7fbe214cf378>, True]] : 226.9759063720703
[[16, [3, 3], False, [1, 1], 128, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.1625213623047
[[32, [3, 3], True, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9730987548828
[[16, [3, 3], False, [1, 1], 96, [5, 3], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.87306213378906
[[96, [7, 1], True, [16, 1], 150, [7, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.6624755859375
[[64, [7, 1], False, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.04470825195312
[[64, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.009521484375
[[32, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 226.9254608154297
[[32, [3, 3], False, [1, 1], 96, [5, 5], False, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.05189514160156
[[64, [7, 1], False, [1, 1], 8, [7, 1], True, [4, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.00233459472656
[[32, [3, 3], False, [1, 1], 64, [5, 3], False, [1, 1], True, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.02713012695312
[[150, [3, 3], False, [1, 1], 64, [5, 5], False, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.05264282226562
[[64, [3, 3], True, [16, 1], 150, [5, 1], True, [1, 1], False, <function relu6 at 0x7fbe8bdd50d0>, True]] : 227.66139221191406
[[150, [3, 3], False, [1, 1], 96, [5, 5], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.0070343017578
[[96, [7, 1], True, [1, 1], 8, [7, 1], True, [1, 1], False, <function relu at 0x7fbe214d2a60>, True]] : 227.04226684570312
[[64, [3, 3], False, [1, 1], 8, [5, 1], True, [1, 1], True, <function relu at 0x7fbe214d2a60>, True]] : 227.0513458251953
