Generation 0
[[128, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06218355521559715
[[128, [5, 1], False, [1, 1], 64, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.0912013053894043
[[64, [5, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.10811063647270203
[[128, [5, 3], False, [1, 1], 64, [3, 3], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07587502896785736
[[64, [5, 1], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.059845391660928726
[[128, [7, 1], False, [1, 1], 8, [3, 3], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.0732005387544632
[[96, [5, 1], False, [1, 1], 64, [7, 3], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.07541655004024506
[[64, [5, 1], False, [1, 1], 96, [5, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.04979044944047928
[[64, [5, 1], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.0778668001294136
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.33891865611076355
[[128, [5, 1], True, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06333353370428085
Generation 3
[[128, [3, 3], False, [1, 1], 96, [7, 1], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.08086661249399185
[[64, [3, 1], True, [1, 1], 128, [7, 3], True, [1, 1], False, <function selu at 0x7ff930bb1488>, True]] : 0.443000465631485
[[32, [3, 3], True, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.05634450539946556
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06901092827320099
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.0633489340543747
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.06540922820568085
[[128, [5, 1], True, [1, 1], 96, [3, 3], True, [2, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.06951820105314255
[[96, [7, 1], True, [1, 1], 8, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.09355391561985016
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.0635179951786995
[[128, [7, 1], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.06123577803373337
[[96, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.05182811990380287
[[32, [5, 3], True, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06172158941626549
[[8, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07371445000171661
[[128, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06733401119709015
[[64, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.06638486683368683
[[64, [5, 1], False, [1, 1], 96, [5, 3], False, [1, 1], True, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.39427539706230164
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06287840008735657
[[128, [5, 1], True, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.05064947530627251
[[64, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.08058834075927734
[[64, [5, 1], True, [1, 1], 32, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.0628797858953476
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.05758458375930786
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06518465280532837
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.44306179881095886
[[128, [5, 1], True, [2, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.44306182861328125
[[64, [5, 1], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.07546378672122955
[[128, [7, 1], True, [1, 1], 16, [3, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.07245394587516785
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.066471628844738
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06306758522987366
[[32, [5, 1], True, [1, 1], 96, [7, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.44306185841560364
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07900813221931458
Generation 4
[[32, [3, 3], False, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.06841842085123062
[[64, [5, 1], False, [1, 1], 96, [5, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.0742877870798111
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.06303718686103821
[[8, [5, 3], True, [1, 1], 64, [7, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.07738989591598511
[[128, [7, 1], False, [1, 1], 16, [5, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.05281892418861389
[[96, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06605994701385498
[[32, [5, 3], True, [1, 1], 16, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.06508708745241165
[[8, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.11473249644041061
[[128, [7, 1], True, [1, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.0644112154841423
[[64, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.07370071858167648
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.38576778769493103
[[128, [5, 1], True, [1, 1], 64, [3, 1], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06434428691864014
[[64, [5, 1], True, [1, 1], 32, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06341899931430817
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07567845284938812
[[32, [3, 3], False, [1, 1], 8, [5, 3], True, [1, 1], False, <function relu at 0x7ff930b87b70>, True]] : 0.06153079867362976
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.07717940956354141
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.0689009577035904
[[128, [7, 1], True, [2, 1], 8, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.44306185841560364
[[128, [5, 1], True, [1, 1], 96, [3, 3], True, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.08459455519914627
[[128, [5, 1], True, [2, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.07048309594392776
[[8, [5, 3], True, [1, 1], 64, [7, 3], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, False]] : 0.06290475279092789
[[8, [7, 1], True, [1, 1], 64, [7, 3], False, [1, 1], False, <function relu6 at 0x7ff99b4f91e0>, True]] : 0.08742371946573257
[[8, [5, 3], True, [1, 1], 8, [5, 3], True, [1, 1], True, <function tanh at 0x7ff930d87c80>, False]] : 0.08005422353744507
[[8, [5, 1], True, [1, 1], 64, [3, 1], False, [1, 1], False, <function tanh at 0x7ff930d87c80>, True]] : 0.1510155349969864
[[8, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.07823356240987778
[[8, [5, 3], True, [1, 1], 8, [3, 3], True, [1, 1], True, <function tanh at 0x7ff930d87c80>, True]] : 0.06642132252454758
[[96, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, False]] : 0.2557756006717682
[[128, [5, 1], True, [1, 1], 96, [3, 3], False, [1, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06325235962867737
[[128, [5, 1], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function leaky_relu at 0x7ff99b4f9268>, True]] : 0.44306179881095886
[[64, [5, 1], True, [1, 1], 96, [5, 3], True, [4, 1], True, <function relu at 0x7ff930b87b70>, True]] : 0.06194848567247391
Generation 0
[[32, [3, 3], False, [1, 1], 96, [7, 3], False, [1, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False], [64, [5, 1], False, [2, 1], 32, [7, 1], False, [4, 1], False, <function leaky_relu at 0x7ff99b4f9268>, False]] : 0.05734989047050476
[[8, [7, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function selu at 0x7ff930bb1488>, True], [128, [3, 1], True, [1, 1], 128, [3, 1], True, [1, 1], True, <function selu at 0x7ff930bb1488>, True]] : 0.07568487524986267
