Generation 0
[[16, [5, 3], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.07140904664993286
[[8, [5, 5], False, [1, 1], 96, [7, 1], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.06225798651576042
[[8, [7, 1], True, [1, 1], 8, [3, 3], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.061346180737018585
[[128, [7, 1], True, [1, 1], 8, [7, 3], True, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.049581266939640045
[[64, [3, 3], True, [1, 1], 32, [5, 5], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.06577973067760468
[[96, [5, 3], False, [2, 1], 64, [7, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.07822024822235107
[[16, [7, 1], False, [1, 1], 8, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, False]] : 0.06604963541030884
[[128, [7, 1], True, [1, 1], 8, [7, 3], True, [1, 1], False, <function selu at 0x7fec73e7c2f0>, True]] : 0.049528252333402634
[[16, [7, 1], False, [1, 1], 8, [5, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05542373284697533
[[64, [5, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05409076809883118
[[16, [3, 3], True, [1, 1], 96, [3, 1], False, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06889375299215317
Generation 3
[[16, [3, 3], True, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.0562928169965744
[[128, [7, 1], True, [1, 1], 16, [7, 3], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06332828104496002
[[64, [3, 3], True, [1, 1], 32, [3, 1], False, [1, 1], True, <function relu6 at 0x7fecde786048>, True]] : 0.0640551820397377
[[32, [5, 3], False, [1, 1], 96, [7, 1], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06489649415016174
[[16, [7, 1], False, [1, 1], 8, [7, 3], False, [1, 1], False, <function relu6 at 0x7fecde786048>, False]] : 0.055736228823661804
[[64, [7, 7], True, [1, 1], 8, [3, 1], False, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.06832285225391388
[[16, [7, 3], False, [1, 1], 96, [7, 7], True, [1, 1], True, <function selu at 0x7fec73e7c2f0>, True]] : 0.06553208082914352
[[16, [5, 1], True, [1, 1], 8, [7, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.049132827669382095
[[96, [5, 3], False, [2, 1], 64, [3, 1], True, [1, 1], False, <function relu at 0x7fec73e4e9d8>, True]] : 0.05467307195067406
[[128, [7, 1], False, [1, 1], 32, [7, 3], True, [1, 1], False, <function tanh at 0x7fec7404eae8>, True]] : 0.0682419091463089
[[64, [7, 1], True, [1, 1], 8, [3, 1], True, [1, 1], True, <function relu at 0x7fec73e4e9d8>, True]] : 0.06329557299613953
